m/z,Intensity,Index,Scan_ID,Source_File
200.1875,3430.543,3,0,Cytochrome_C.mzML
201.5625,15485.886,25,0,Cytochrome_C.mzML
202.0,3178.6572,32,0,Cytochrome_C.mzML
202.875,5690.6,46,0,Cytochrome_C.mzML
204.125,6175.914,66,0,Cytochrome_C.mzML
204.5625,699.6857,73,0,Cytochrome_C.mzML
205.125,22522.457,82,0,Cytochrome_C.mzML
205.6875,13135.371,91,0,Cytochrome_C.mzML
206.0625,13994.114,97,0,Cytochrome_C.mzML
206.3125,12580.657,101,0,Cytochrome_C.mzML
206.6875,6488.343,107,0,Cytochrome_C.mzML
207.0,35153.6,112,0,Cytochrome_C.mzML
207.5,16824.314,120,0,Cytochrome_C.mzML
208.1875,28988.428,131,0,Cytochrome_C.mzML
208.625,53754.6,138,0,Cytochrome_C.mzML
208.9375,5411.857,143,0,Cytochrome_C.mzML
209.1875,6915.2,147,0,Cytochrome_C.mzML
209.5,63894.37,152,0,Cytochrome_C.mzML
210.125,7550.143,162,0,Cytochrome_C.mzML
210.5625,16146.571,169,0,Cytochrome_C.mzML
211.125,4424.6284,178,0,Cytochrome_C.mzML
211.4375,5777.6,183,0,Cytochrome_C.mzML
212.0,22294.686,192,0,Cytochrome_C.mzML
213.0,49098.312,208,0,Cytochrome_C.mzML
213.75,7526.8286,220,0,Cytochrome_C.mzML
214.1875,4372.914,227,0,Cytochrome_C.mzML
214.75,6197.457,236,0,Cytochrome_C.mzML
215.125,52142.027,242,0,Cytochrome_C.mzML
215.5,10139.543,248,0,Cytochrome_C.mzML
216.1875,894.9143,259,0,Cytochrome_C.mzML
217.0625,10278.828,273,0,Cytochrome_C.mzML
217.3125,5182.457,277,0,Cytochrome_C.mzML
217.6875,23678.2,283,0,Cytochrome_C.mzML
218.1875,13108.886,291,0,Cytochrome_C.mzML
218.9375,18130.771,303,0,Cytochrome_C.mzML
219.1875,45483.37,307,0,Cytochrome_C.mzML
219.9375,15360.229,319,0,Cytochrome_C.mzML
220.1875,3762.4285,323,0,Cytochrome_C.mzML
220.5,7250.6284,328,0,Cytochrome_C.mzML
221.1875,101902.88,339,0,Cytochrome_C.mzML
221.75,25713.2,348,0,Cytochrome_C.mzML
222.25,2934.9714,356,0,Cytochrome_C.mzML
223.0625,51262.086,369,0,Cytochrome_C.mzML
223.8125,6936.4287,381,0,Cytochrome_C.mzML
224.0625,41275.484,385,0,Cytochrome_C.mzML
224.5625,5537.943,393,0,Cytochrome_C.mzML
225.125,110863.43,402,0,Cytochrome_C.mzML
226.125,25768.656,418,0,Cytochrome_C.mzML
227.0625,44088.43,433,0,Cytochrome_C.mzML
227.5,17106.457,440,0,Cytochrome_C.mzML
227.875,22191.771,446,0,Cytochrome_C.mzML
228.1875,14041.743,451,0,Cytochrome_C.mzML
228.625,17907.486,458,0,Cytochrome_C.mzML
228.9375,18520.0,463,0,Cytochrome_C.mzML
229.1875,4503.4,467,0,Cytochrome_C.mzML
229.75,17689.143,476,0,Cytochrome_C.mzML
230.125,10570.0,482,0,Cytochrome_C.mzML
230.75,18085.229,492,0,Cytochrome_C.mzML
231.625,15966.286,506,0,Cytochrome_C.mzML
232.0,8376.857,512,0,Cytochrome_C.mzML
232.5625,8136.543,521,0,Cytochrome_C.mzML
233.0,44034.027,528,0,Cytochrome_C.mzML
233.25,33278.83,532,0,Cytochrome_C.mzML
233.625,4243.143,538,0,Cytochrome_C.mzML
234.0625,22605.857,545,0,Cytochrome_C.mzML
234.9375,33122.457,559,0,Cytochrome_C.mzML
235.1875,88780.97,563,0,Cytochrome_C.mzML
236.0,52116.0,576,0,Cytochrome_C.mzML
236.9375,26294.457,591,0,Cytochrome_C.mzML
237.9375,1934.4857,607,0,Cytochrome_C.mzML
238.625,2898.9143,618,0,Cytochrome_C.mzML
238.875,21523.314,622,0,Cytochrome_C.mzML
239.25,49038.0,628,0,Cytochrome_C.mzML
240.1875,87264.88,643,0,Cytochrome_C.mzML
240.625,12046.485,650,0,Cytochrome_C.mzML
240.875,13685.8,654,0,Cytochrome_C.mzML
241.25,37809.145,660,0,Cytochrome_C.mzML
241.625,11027.258,666,0,Cytochrome_C.mzML
241.9375,19328.799,671,0,Cytochrome_C.mzML
242.25,37942.742,676,0,Cytochrome_C.mzML
242.75,63499.37,684,0,Cytochrome_C.mzML
243.1875,163661.14,691,0,Cytochrome_C.mzML
243.6875,15088.314,699,0,Cytochrome_C.mzML
244.1875,16196.457,707,0,Cytochrome_C.mzML
244.9375,24749.086,719,0,Cytochrome_C.mzML
245.625,1697.1714,730,0,Cytochrome_C.mzML
246.0,14448.543,736,0,Cytochrome_C.mzML
246.3125,2100.543,741,0,Cytochrome_C.mzML
247.0,27865.857,752,0,Cytochrome_C.mzML
248.0625,16159.457,769,0,Cytochrome_C.mzML
248.6875,16668.6,779,0,Cytochrome_C.mzML
248.9375,27989.6,783,0,Cytochrome_C.mzML
250.0625,6014.057,801,0,Cytochrome_C.mzML
250.625,48078.77,810,0,Cytochrome_C.mzML
250.9375,69780.97,815,0,Cytochrome_C.mzML
251.625,41839.06,826,0,Cytochrome_C.mzML
252.0,16111.058,832,0,Cytochrome_C.mzML
253.0625,20550.771,849,0,Cytochrome_C.mzML
253.6875,4120.3145,859,0,Cytochrome_C.mzML
254.0625,18306.4,865,0,Cytochrome_C.mzML
254.5625,8547.515,873,0,Cytochrome_C.mzML
254.875,1922.6,878,0,Cytochrome_C.mzML
255.1875,3672.0,883,0,Cytochrome_C.mzML
256.0,22712.629,896,0,Cytochrome_C.mzML
257.125,67461.375,914,0,Cytochrome_C.mzML
257.8125,10783.485,925,0,Cytochrome_C.mzML
258.3125,42299.43,933,0,Cytochrome_C.mzML
258.9375,19466.086,943,0,Cytochrome_C.mzML
259.1875,16420.885,947,0,Cytochrome_C.mzML
260.25,8602.914,964,0,Cytochrome_C.mzML
261.1875,46554.855,979,0,Cytochrome_C.mzML
261.5,18447.285,984,0,Cytochrome_C.mzML
261.8125,2146.7715,989,0,Cytochrome_C.mzML
262.25,20913.229,996,0,Cytochrome_C.mzML
262.875,37547.086,1006,0,Cytochrome_C.mzML
263.1875,8911.714,1011,0,Cytochrome_C.mzML
263.75,3252.5715,1020,0,Cytochrome_C.mzML
264.0625,3058.9714,1025,0,Cytochrome_C.mzML
264.375,10924.4,1030,0,Cytochrome_C.mzML
265.0,50684.83,1040,0,Cytochrome_C.mzML
265.25,91748.17,1044,0,Cytochrome_C.mzML
265.6875,29681.285,1051,0,Cytochrome_C.mzML
266.0,57139.457,1056,0,Cytochrome_C.mzML
266.3125,31885.172,1061,0,Cytochrome_C.mzML
266.75,7595.6284,1068,0,Cytochrome_C.mzML
267.0625,65965.516,1073,0,Cytochrome_C.mzML
267.9375,10332.028,1087,0,Cytochrome_C.mzML
268.375,6196.3145,1094,0,Cytochrome_C.mzML
269.0625,19684.6,1105,0,Cytochrome_C.mzML
269.9375,28528.03,1119,0,Cytochrome_C.mzML
270.125,26106.229,1122,0,Cytochrome_C.mzML
270.6875,62748.17,1131,0,Cytochrome_C.mzML
271.125,29063.229,1138,0,Cytochrome_C.mzML
271.4375,2771.8572,1143,0,Cytochrome_C.mzML
271.875,25952.03,1150,0,Cytochrome_C.mzML
272.9375,15402.972,1167,0,Cytochrome_C.mzML
273.3125,2974.4285,1173,0,Cytochrome_C.mzML
273.8125,10738.8,1181,0,Cytochrome_C.mzML
274.5,11554.4,1192,0,Cytochrome_C.mzML
275.125,28106.742,1202,0,Cytochrome_C.mzML
275.625,69355.2,1210,0,Cytochrome_C.mzML
276.125,32426.914,1218,0,Cytochrome_C.mzML
277.0,16131.972,1232,0,Cytochrome_C.mzML
277.25,29866.8,1236,0,Cytochrome_C.mzML
277.5,24277.143,1240,0,Cytochrome_C.mzML
278.1875,25682.229,1251,0,Cytochrome_C.mzML
278.8125,2514.9714,1261,0,Cytochrome_C.mzML
279.25,42910.973,1268,0,Cytochrome_C.mzML
279.8125,5610.343,1277,0,Cytochrome_C.mzML
280.1875,6327.343,1283,0,Cytochrome_C.mzML
280.6875,290.7143,1291,0,Cytochrome_C.mzML
281.0625,11738.828,1297,0,Cytochrome_C.mzML
281.6875,23410.03,1307,0,Cytochrome_C.mzML
282.0625,9885.058,1313,0,Cytochrome_C.mzML
282.8125,21522.486,1325,0,Cytochrome_C.mzML
283.3125,68533.46,1333,0,Cytochrome_C.mzML
283.9375,42742.258,1343,0,Cytochrome_C.mzML
284.375,32628.6,1350,0,Cytochrome_C.mzML
285.0625,54316.457,1361,0,Cytochrome_C.mzML
285.375,25641.143,1366,0,Cytochrome_C.mzML
286.0,15245.028,1376,0,Cytochrome_C.mzML
286.6875,10914.086,1387,0,Cytochrome_C.mzML
287.125,20997.885,1394,0,Cytochrome_C.mzML
287.375,26295.771,1398,0,Cytochrome_C.mzML
287.75,24271.543,1404,0,Cytochrome_C.mzML
288.0,13003.172,1408,0,Cytochrome_C.mzML
288.3125,12064.515,1413,0,Cytochrome_C.mzML
289.0,22153.656,1424,0,Cytochrome_C.mzML
290.1875,62879.715,1443,0,Cytochrome_C.mzML
290.75,1864.7142,1452,0,Cytochrome_C.mzML
291.125,7799.7715,1458,0,Cytochrome_C.mzML
291.4375,50213.914,1463,0,Cytochrome_C.mzML
292.0625,24984.143,1473,0,Cytochrome_C.mzML
292.5,18480.086,1480,0,Cytochrome_C.mzML
293.0625,21259.486,1489,0,Cytochrome_C.mzML
294.0625,18275.914,1505,0,Cytochrome_C.mzML
294.75,6018.4287,1516,0,Cytochrome_C.mzML
295.0,11648.942,1520,0,Cytochrome_C.mzML
295.3125,16260.143,1525,0,Cytochrome_C.mzML
295.9375,6849.343,1535,0,Cytochrome_C.mzML
296.1875,27225.97,1539,0,Cytochrome_C.mzML
296.5625,5081.857,1545,0,Cytochrome_C.mzML
297.0,31485.086,1552,0,Cytochrome_C.mzML
297.25,31917.8,1556,0,Cytochrome_C.mzML
298.0625,15553.515,1569,0,Cytochrome_C.mzML
299.0625,27158.057,1585,0,Cytochrome_C.mzML
300.0,9246.743,1600,0,Cytochrome_C.mzML
300.1875,5908.7144,1603,0,Cytochrome_C.mzML
300.5625,59538.06,1609,0,Cytochrome_C.mzML
301.0,46500.742,1616,0,Cytochrome_C.mzML
301.25,48239.457,1620,0,Cytochrome_C.mzML
302.1875,33673.973,1635,0,Cytochrome_C.mzML
302.5,18457.715,1640,0,Cytochrome_C.mzML
303.125,45380.77,1650,0,Cytochrome_C.mzML
304.0625,13500.172,1665,0,Cytochrome_C.mzML
304.4375,22716.857,1671,0,Cytochrome_C.mzML
305.1875,226945.92,1683,0,Cytochrome_C.mzML
305.75,4630.1143,1692,0,Cytochrome_C.mzML
306.0625,22933.715,1697,0,Cytochrome_C.mzML
306.5,28465.742,1704,0,Cytochrome_C.mzML
307.0,17113.371,1712,0,Cytochrome_C.mzML
307.25,21301.4,1716,0,Cytochrome_C.mzML
307.6875,35892.855,1723,0,Cytochrome_C.mzML
308.5,3834.457,1736,0,Cytochrome_C.mzML
309.125,64786.516,1746,0,Cytochrome_C.mzML
309.4375,46189.23,1751,0,Cytochrome_C.mzML
309.75,25057.371,1756,0,Cytochrome_C.mzML
310.125,26376.629,1762,0,Cytochrome_C.mzML
310.4375,5820.6855,1767,0,Cytochrome_C.mzML
311.0,42620.63,1776,0,Cytochrome_C.mzML
311.3125,7669.6,1781,0,Cytochrome_C.mzML
311.9375,4263.486,1791,0,Cytochrome_C.mzML
312.25,1468.2858,1796,0,Cytochrome_C.mzML
312.5625,5364.8574,1801,0,Cytochrome_C.mzML
313.1875,30929.799,1811,0,Cytochrome_C.mzML
313.4375,51818.887,1815,0,Cytochrome_C.mzML
313.8125,31446.03,1821,0,Cytochrome_C.mzML
314.25,34098.77,1828,0,Cytochrome_C.mzML
314.5,49429.83,1832,0,Cytochrome_C.mzML
314.8125,20194.0,1837,0,Cytochrome_C.mzML
315.0,18074.143,1840,0,Cytochrome_C.mzML
315.375,25397.629,1846,0,Cytochrome_C.mzML
316.125,3306.0571,1858,0,Cytochrome_C.mzML
316.75,1030.6,1868,0,Cytochrome_C.mzML
317.0625,68238.484,1873,0,Cytochrome_C.mzML
317.875,9420.086,1886,0,Cytochrome_C.mzML
318.3125,6097.2285,1893,0,Cytochrome_C.mzML
319.0,23646.914,1904,0,Cytochrome_C.mzML
319.25,51292.688,1908,0,Cytochrome_C.mzML
